Word :  gabriel 	 Frequency : 1
Word :  916présence 	 Frequency : 1
Word :  tardparacetamol 	 Frequency : 1
Word :  dépendante 	 Frequency : 5
Word :  visuoconstructive 	 Frequency : 2
Word :  sac 	 Frequency : 61
Word :  15h03médecin 	 Frequency : 2
Word :  gorgeapyrétiquea 	 Frequency : 1
Word :  retirerenfiler 	 Frequency : 2
Word :  touchevoir 	 Frequency : 1
Word :  16122014 	 Frequency : 69
Word :  prévenuettt 	 Frequency : 1
Word :  sonne 	 Frequency : 79
Word :  plaque 	 Frequency : 38
Word :  cassé!merci 	 Frequency : 1
Word :  chatouillait 	 Frequency : 1
Word :  appreils 	 Frequency : 1
Word :  5ième 	 Frequency : 1
Word :  filledépart 	 Frequency : 2
Word :  étiquettes 	 Frequency : 7
Word :  14h44 	 Frequency : 3
Word :  séffondre 	 Frequency : 1
Word :  cognitivocomportemental 	 Frequency : 1
Word :  reconduit 	 Frequency : 6
Word :  faitmange 	 Frequency : 1
Word :  anxiétéarrêt 	 Frequency : 1
Word :  recadrervoir 	 Frequency : 1
Word :  recadré 	 Frequency : 10
Word :  dessusdit 	 Frequency : 2
Word :  5hdit 	 Frequency : 1
Word :  retenu 	 Frequency : 4
Word :  betadine 	 Frequency : 9
Word :  13h3014h 	 Frequency : 1
Word :  cuisisne 	 Frequency : 1
Word :  rauqueyeux 	 Frequency : 1
Word :  présentescore 	 Frequency : 1
Word :  lomabaire 	 Frequency : 1
Word :  confitureouverte 	 Frequency : 1
Word :  dragon 	 Frequency : 3
Word :  hypoglycemie 	 Frequency : 2
Word :  pu 	 Frequency : 152
Word :  matin24112014rappel 	 Frequency : 1
Word :  vil 	 Frequency : 1
Word :  entent 	 Frequency : 1
Word :  douchette 	 Frequency : 2
Word :  florence 	 Frequency : 48
Word :  chambreappel 	 Frequency : 1
Word :  dufresnefaire 	 Frequency : 1
Word :  pensait 	 Frequency : 21
Word :  aggravée 	 Frequency : 3
Word :  détriment 	 Frequency : 2
Word :  côtes 	 Frequency : 17
Word :  dormirme 	 Frequency : 2
Word :  desir 	 Frequency : 2
Word :  repasmm 	 Frequency : 1
Word :  litmis 	 Frequency : 1
Word :  coucherdouloureuse 	 Frequency : 1
Word :  bulles 	 Frequency : 1
Word :  8h50 	 Frequency : 4
Word :  placepm 	 Frequency : 1
Word :  extractions 	 Frequency : 3
Word :  empêchait 	 Frequency : 1
Word :  symbole 	 Frequency : 1
Word :  couches 	 Frequency : 3
Word :  pourcin 	 Frequency : 2
Word :  precedemment 	 Frequency : 2
Word :  gaucheplaie 	 Frequency : 2
Word :  pigeons 	 Frequency : 1
Word :  hémodialyse 	 Frequency : 1
Word :  arrivéeaccompagnée 	 Frequency : 1
Word :  selles0 	 Frequency : 11
Word :  bénéfique 	 Frequency : 6
Word :  neocodium 	 Frequency : 1
Word :  zoughli 	 Frequency : 18
Word :  insatisfait 	 Frequency : 1
Word :  essentiellementobjectifs 	 Frequency : 1
Word :  menard 	 Frequency : 4
Word :  transfertsmarche 	 Frequency : 1
Word :  motiverproposer 	 Frequency : 1
Word :  laterale 	 Frequency : 2
Word :  musiqueindicateurs 	 Frequency : 2
Word :  15h22pulsations 	 Frequency : 1
Word :  michel 	 Frequency : 31
Word :  deambuler 	 Frequency : 26
Word :  fusil 	 Frequency : 1
Word :  passéreproposé 	 Frequency : 1
Word :  problèmetransmis 	 Frequency : 1
Word :  refait 	 Frequency : 117
Word :  apareille 	 Frequency : 1
Word :  joursconseiuls 	 Frequency : 1
Word :  domaine 	 Frequency : 4
Word :  wkmme 	 Frequency : 1
Word :  sacheter 	 Frequency : 2
Word :  pliait 	 Frequency : 1
Word :  18h14type 	 Frequency : 2
Word :  gauchetrès 	 Frequency : 1
Word :  gauchenettoyé 	 Frequency : 1
Word :  12h11observations 	 Frequency : 1
Word :  insertion 	 Frequency : 1
Word :  idese 	 Frequency : 2
Word :  anglaises 	 Frequency : 1
Word :  reprisesje 	 Frequency : 1
Word :  mipec 	 Frequency : 1
Word :  prendre 	 Frequency : 548
Word :  verrait 	 Frequency : 1
Word :  restaurationson 	 Frequency : 1
Word :  gonalgies 	 Frequency : 1
Word :  bonde 	 Frequency : 1
Word :  tireon 	 Frequency : 1
Word :  sylvette 	 Frequency : 1
Word :  totrappel 	 Frequency : 1
Word :  djobo 	 Frequency : 9
Word :  inscrits603122014 	 Frequency : 1
Word :  mrvue 	 Frequency : 1
Word :  suspectant 	 Frequency : 1
Word :  vappereau 	 Frequency : 1
Word :  contenteje 	 Frequency : 1
Word :  mëme 	 Frequency : 1
Word :  promenermadame 	 Frequency : 1
Word :  prosperraison 	 Frequency : 1
Word :  diffusesdouleur 	 Frequency : 1
Word :  phos 	 Frequency : 1
Word :  molles 	 Frequency : 22
Word :  mémoiretoutes 	 Frequency : 1
Word :  17h36valeur 	 Frequency : 1
Word :  digoxine® 	 Frequency : 1
Word :  prévenuechange 	 Frequency : 1
Word :  matintrès 	 Frequency : 1
Word :  manque 	 Frequency : 79
Word :  êtreevaluation 	 Frequency : 1
Word :  venu 	 Frequency : 149
Word :  traitanr 	 Frequency : 1
Word :  faitdort 	 Frequency : 1
Word :  donnais 	 Frequency : 1
Word :  cheveuxavec 	 Frequency : 1
Word :  laxatifsdouleur 	 Frequency : 1
Word :  00h37 	 Frequency : 1
Word :  echarpe 	 Frequency : 4
